company,country,product_details_raw,contacts_raw
Al-Shamal Islamic Bank (SHB),Sudan, BankBI-FATCA; BankBI-AML;, Mubarak mamoun; Mubark zain;
Ziraat Bank- Iraq (ZIR),Iraq, SAP-BO; BankBI-RR;, Mohammed Qader; Peyvent PEYK;
Al Mustashar Islamic Bank (MIB),Iraq, BankBI-Risk Assessment; BankBI-FATCA; BankBI-AML;, Shahad Abdlwaheed; aml -; IT -; it_support -; Mustafa -; Mohammed Salam; Noor Raad;
Al-Mansour Bank For Investment (MBI),Iraq, SAP-BO; Oracle License; BankBI-RBA; BankBI-IFRS9; BankBI-FATCA; BankBI-DWH; BankBI-Credit Bureau; BankBI-AML;, Maryam Dawood; zaid rashid; Mustafa Jamal; Asal Sabah; Tammuz Alraheb; Farah Raed; Esraa Hadi; Shams Alaa;
Misr Iran Development Bank (MID),Egypt, SAP-BO; BankBPM-Workflow; BankBPM-KYC/AC; BankBI-RR; BankBI-DWH;, AbdelFattah ElMasry; Ahmed El Sharkawy; Taha Fathy; Mohamed Elzahaby; Haitham Mohamed; IT App -; Mahmoud Nour; Ali Gamea; Ahmed Hamed;
People's Bank of Zanzibar Ltd (PBZ),Tanzania, SAP-ETL; SAP-BO; BankBI-RBA; BankBI-DWH; BankBI-AML;, NASSOR HAJI; Mgeni Keis; Khatib Pandu; Mohd Yussuf; Hilal Amour;
Zanaco (ZNC),Zambia, SAP-ETL; SAP-BO; BankBI-DWH;, Derrick Bwalya; Moses Sichilombe;
Aljazeera Sudanese Bank (JSJ),Sudan, SAP-BO; BankBI-FATCA; BankBI-AML;, howida salih; aamir alqusi; Hani abbas; Amar mohamed; Asma Yahya; Abdallah Osman; IT-Application Support; Abubaker Hashim;
Jordan Kuwait Bank (JKB),Jordan, W4-Licenses; SAP-BO; Legal; CRM; BankBPM-COL; BankBI-RR; BankBI-GOAML; BankBI-FATCA; BankBI-DWH; BankBI-CRS;, Yousef Almesri; Saeed Tah; DBA-Team -; Ibrahim Alnajjar; Hamzeh Zayadneh; Eyas Alkayed; Nawaf Iskandarani; Ehab Twal; Mohammad Omar; IT-APP -support; Dareen Hamzeh; Mohammad Sinnawi; Mais Mheirat; Laith Khalil; it-release-management -management; Ahmad Ghalib; Zuhieret Barham; Mohammad Al Ghamaz; Mohammad Talal;
First Iraqi Bank (FIN),Iraq, Oracle License; BankBI-RBA; BankBI-FATCA; BankBI-DWH; BankBI-AML; Bank CM;, ; Noor Bahaa; Haidr Noori; Hazem Khalil; IT Department; Aland -; Onel Shamoon; Ibrahim Shamall; Raed Bakka; Sangar Mohammed; Hanan Vinar; Sangar Mohammed; Abdulrahman Alhayek; Chro Abubakr;
Agriculture Bank of Sudan (AGR),Sudan, BankBI-FATCA; BankBI-AML;, ; Abedulhafez Hamad;
Jordan Islamic Bank (JIB)-Jordan,Jordan, SAP-ETL; BankBI-RBA; BankBI-FATCA; BankBI-DWH; BankBI-AML;, ; Mohammad Almasri; Mustafa Abudayeh; Mohammad Elayyan; mutasm Qenneh;
KCB Bank Kenya Limited (KCB),Kenya, BankBI-FATCA; BankBI-DWH;, Mutinda -; John Bosco Muia; Simon Maina; Cosmus Katingia Musango; Joseph Wamalwa Lukorito;
Iraq Stock Exchange (ISX),Iraq, Oracle License; BankBI-AML;, Zinah -;
Bank Nizwa (NZW),Oman, SAP-ETL; BankBI-DWH;, ; Arun Ganesan; Anvar Sadat; Jawaher Al Ajmi; Amira Al Balushi;
Al-Ahli Bank (ABO),Oman, BankBI-RR; BankBI-DWH; BankBI- Profitability;, ; Shadi Al- Hourani; Syed Sadiq Basha; Issa AbdRabbow; Omar Zeater;
Alawneh Exchange (ALW) – Jordan,Jordan, SAP-ETL; Oracle License; BankBI-AML;, ; Khaled Nemer; Ahmad Salem; Assad Alawneh; IT department; Ahmad Qutaish; Fares Al-Qaisi; AML Alawneh; Ahmad Al-Mustafa; Ghadeer H; Hamzah Awwad; Hassan Alathem; Anas Al-Rousan; Noorhan AlJunidi; Mahmoud Trad; Saifeddin Rasheed; Saif Masarweh; Heba Al-Adarbeh; Laith Al-Omari;
Oromia International Bank (ORM),Ethiopia, SAP-ETL; SAP-BO; BankBI-MIS; BankBI-DWH;, ; Abraham Chala; knati2014 -; Tsion Girma;
Tadamon Islamic Bank (TAD) -Sudan,Sudan, BankBI-AML;, ; Hani Abas; Haytham Saeed;
Vakif Bank (VAK),Turkey, BankBI-RBA; BankBI-AML;, ; Firat KIZILER;
National Bank of Yemen (NBY),Yemen, SAP-ETL; SAP-BO; Oracle License; BankBI-RBA; BankBI-MIS; BankBI-AML;, ; Samah Bagish; Ziad Aydh Basunaid; Muhammad Anwar Qutb; Aisha Ahmad Ali; Aisha Baidani; it.apps -;
Animal Resources Bank (ANR),Sudan, BankBI-AML;, ; Asma Omer; Mustafa Omar;
Al-Taif Islamic Bank (TIF)- Iraq,Iraq, SAP-ETL; Oracle License; BankBI-RBA; BankBI-AML;, ; Mustafa Abas; Nora Adil; Shahad Saad; Anmar Basil; Ali Salam; Hiba Abas; Aws Muneer; Ahmed Waleed; khalid Elias; AML Department; Esraa Qasim; Diana Ali; Bashar Saad; Ayat Mohammed; Mohanad Abdulrasoul;
Mosul Bank (MDI),Iraq, BankBI-RBA; BankBI-FATCA; BankBI-AML;, ; AML -; Younis Ahmad; Munaf Salim; Audit -; Compliance -; Hashim -; Hussein Ali;
Elaf Islamic Bank-(EIB),Iraq, BankBI-AML;, ; Sinan Salwan; Rafea Saib; Mohammed Taqi Salman;
Hammurabi Commercial Bank (HCB),Iraq, SAP-ETL; SAP-BO; BankBI-RBA; BankBI-FATCA; BankBI-DWH; BankBI-AML;, ; Mohammed Ayad; it.dept -; Omar Salim; Teba Ibrahem;
Hope International (HOP),USA, SAP-ETL; BankBI-RBA; BankBI-AML;, ; Theopiste Nyarwaya; Albert Mukunzi; Daniella Munezero; Beatrice Nyirabaruta; Grace Natukunda;
Islamic International Arab Bank(IIA),Jordan, SAP-ETL; SAP-BO;, ; Mariam Al- Hjouj; Omar Khawaldeh; Hashem Shehadeh; Burhan Darwish; App. support.team; Yazan Awwad; Yahya Alhajhasan; Tareq Alqasem; Saifeldeen Alnaimi; Osama Mihdawy; Fuad Raja; Bilal Jabr; Ahmad Alturk;
Network International Services (NIS),Jordan, BankBI-RBA; BankBI-AML;, Jameel Almasri; Firas Kayyali; Rawan Al-Jayyousi; Ahmad Maaitah; Mohammad Al-Ma'abreh; Taher Alkhatib; Ameer Al-Suhemat; Sara Alharasis;
FastPay for e-Payment Limited (FPP),Iraq, SAP-ETL; Oracle License; BankBI-AML;, ; IT - FastPay; Masoud Omer; Soran Zangana; Sadiq Ali Khadim; Sarah Abdulrazak; Amin Taha Hassan; Yousf Mohammed Turki; Salman Hama Babkr;
Credit Card Service Company (CSC),Jordan, SAP-ETL; BankBI-RBA; BankBI-AML;, ; Mosab Dweik; CSCJOR- Compliance; Waleed Mohammad; Ibrahim AbuRuman; Mazen Al-Dweik; Rawan Qaisi; Yazan Abed; Wael Alabed; Moh`d rasoul bani khaled;
Ahli Microfinance Company (AMC),Jordan, SAP-ETL; Oracle License; BankBI-RBA; BankBI-AML;, ; Wael Swidan; IT Support -; Mohammad AlAbed; Rwaina Rabadi; Yasmeen Nimry;
AsiaHawala Company (AHC),Iraq, SAP-ETL; BankBI-AML;, ; Haetham Hadi Abd; Yad Emdad Karim; Rozhin Dana Khasraw;
Arab Bank Syria (ABS)-Syria,Syria, BankBI-RR;, ; Rivan Jadallah; Khaldoun Alswaid; Rana Al Sermani;
MadfooatCom (MAD),Jordan, SAP-ETL; BankBI-AML;, ; Mousa Saleh; Wesam Al-amad; Laith Musa; Mohammad Kannan; Ashraf Almohtaseb; Ali Awartany; MG- Support; Compliance -; Hamza Mhairat; Mishael Almuady; Ahmad Kaddoura; Heba Bustami; Support Group;
Zain Cash (ZIN)-Jordan,Jordan, SAP-ETL; BankBI-RBA; BankBI-AML;, ; Odai Al-Haileh; Zain Cash Compliance; Hosni Haddadin; ZainCash_ Support; Lamees Makhamreh; Ahmad Allan; Basil Hannoun; Mohammad Flaifel; Mohammed Attallah;
The Specialized Leasing Company(SLC),Jordan, SAP-ETL; Oracle License; BankBI-DWH; BankBI-CRS;, ; Raghad AlQaseer; Fadi E'layan; Awn Hawi; Mohammad Qassass;
Oman Investment & Finance (OIB),Oman, BankBI-AML;, ; Nusrat Abbas; Mohammad Amir; Nada Al Zadjali; Afaf Al- Rubaiey;
National Bank of Egypt (NBE),Egypt, BankBI-GOAML;, ; Hany Said Mansour; Mostafa Abd Elfatah; Mohamed Ibrahim Mubark; Shereen Kamal; Engy Ali; Mohamed Hesham; Ahmed Elmasry; OFSAA_ Support; Fadi Dargham;
Loan Financing Company (LON),Saudi Arabia, SAP-ETL; BankBI-AML;, ; Halah Alhussayen; IT-department -; Sulaiman Alhudaif; Ahmed Oda; Abdulrahman Alhudaif;
National Bank of Iraq (NBI)-Iraq,Iraq, BankBI-GOAML; BankBI-FATCA;, ; Mohammed Thair; Mustafa Basheer; Alaa Mustafa; Nour Altaear; AML NBI; Wid Ali; Baker Alrefaei;
Al- Sanam Islamic Bank (SAN),Iraq, BankBI-RBA; BankBI-FATCA; BankBI-AML;, ; AML -; Sura Abbas; aml.dep -;
Palestine Investment Bank (PVB) - B,Bahrain, BankBI-RBA; BankBI-AML;, ; Mohammad Abusal; Compliance -;
Banque Bemo Saudi Fransi (BSF)-Syria,Syria, SAP-ETL; BankBI-RBA; BankBI-DWH; BankBI-AML;, ; Maria Harastani; Shaza Mawlawi; Besher Daaboul; Ammar Shaikh Ali; Yousef Jeddawi;
Egyptian Arab Land Bank (EAB)-Jordan,Jordan, Legal;, ;
